student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
1,Student_1,10C,98,84,68,68,94,58
2,Student_2,10A,98,99,98,66,87,37
3,Student_3,10C,61,74,85,70,43,34
4,Student_4,10C,88,73,61,63,69,58
5,Student_5,10A,51,62,90,58,50,76
6,Student_6,10A,52,56,68,95,69,33
7,Student_7,10C,98,85,61,50,70,41
8,Student_8,10B,86,94,58,94,63,74
9,Student_9,10C,98,69,56,62,94,31
10,Student_10,10C,66,50,77,53,48,56
11,Student_11,10C,98,57,63,50,94,60
12,Student_12,10C,51,95,80,98,42,65
13,Student_13,10A,51,65,68,89,90,65
14,Student_14,10C,77,63,96,81,70,55
15,Student_15,10B,72,61,65,83,79,72
16,Student_16,10A,86,72,54,77,76,56
17,Student_17,10B,81,64,84,80,75,34
18,Student_18,10B,82,77,61,57,63,49
19,Student_19,10B,50,83,74,88,70,40
20,Student_20,10B,68,51,70,75,45,39
21,Student_21,10A,51,81,85,83,41,69
22,Student_22,10A,93,72,72,52,59,67
23,Student_23,10B,75,71,65,99,67,35
24,Student_24,10B,81,74,88,61,50,37
25,Student_25,10A,55,71,94,50,43,52
26,Student_26,10A,81,71,91,93,54,76
27,Student_27,10A,53,98,88,54,45,55
28,Student_28,10C,60,91,63,79,93,75
29,Student_29,10C,66,55,80,79,88,72
30,Student_30,10C,87,64,54,66,69,41
31,Student_31,10B,73,92,84,97,95,55
32,Student_32,10C,54,86,72,96,77,42
33,Student_33,10B,83,82,78,72,90,69
34,Student_34,10B,55,57,92,64,96,47
35,Student_35,10C,71,93,60,86,41,54
36,Student_36,10B,60,93,67,70,54,62
37,Student_37,10C,97,54,96,63,50,76
38,Student_38,10C,65,88,61,51,47,69
39,Student_39,10A,82,53,58,60,65,72
40,Student_40,10C,58,55,59,88,90,41
41,Student_41,10A,55,94,93,87,84,73
42,Student_42,10C,65,81,66,83,83,65
43,Student_43,10C,78,79,87,87,44,77
44,Student_44,10A,52,96,56,99,45,33
45,Student_45,10A,69,84,95,83,65,34
46,Student_46,10C,85,89,62,67,93,66
47,Student_47,10B,68,65,89,79,43,37
48,Student_48,10A,75,62,91,64,58,71
49,Student_49,10B,52,99,58,76,59,78
50,Student_50,10B,68,91,99,83,72,57
51,Student_51,10B,69,79,76,87,59,60
52,Student_52,10A,81,68,51,82,88,38
53,Student_53,10B,56,66,54,73,51,58
54,Student_54,10A,90,68,78,64,86,43
55,Student_55,10B,82,77,86,79,40,69
56,Student_56,10C,89,75,87,91,65,70
57,Student_57,10C,88,86,68,66,53,51
58,Student_58,10A,67,75,57,54,77,40
59,Student_59,10C,89,72,97,78,76,52
60,Student_60,10C,50,58,94,53,50,30
61,Student_61,10B,60,61,50,59,75,75
62,Student_62,10A,77,50,71,66,52,66
63,Student_63,10B,74,50,66,59,82,50
64,Student_64,10B,99,96,56,66,42,55
65,Student_65,10B,72,83,74,69,72,75
66,Student_66,10B,80,81,94,73,45,65
67,Student_67,10B,79,97,53,54,89,52
68,Student_68,10B,91,74,85,83,95,30
69,Student_69,10B,84,89,55,55,49,69
70,Student_70,10A,56,94,80,51,44,44
71,Student_71,10C,65,50,68,62,62,50
72,Student_72,10B,75,65,93,92,49,76
73,Student_73,10B,97,88,88,92,83,38
74,Student_74,10B,98,54,76,97,41,38
